subject,epoch,min_cluster_size,n_clusters,n_noise
sub-010007,ep00,5,3,611
sub-010007,ep00,7,2,594
sub-010007,ep00,8,2,1410
sub-010007,ep00,10,2,1358
sub-010007,ep00,20,0,1548
sub-010007,ep00,30,0,1548
sub-010007,ep00,50,0,1548
sub-010007,ep00,100,0,1548
sub-010007,ep00,150,0,1548
sub-010007,ep00,200,0,1548
sub-010007,ep01,3,5,117
sub-010007,ep01,5,3,291
sub-010007,ep01,7,2,1213
sub-010007,ep01,8,2,1257
sub-010007,ep01,10,2,1272
sub-010007,ep01,20,2,1211
sub-010007,ep01,30,0,1504
sub-010007,ep01,50,0,1504
sub-010007,ep01,100,0,1504
sub-010007,ep01,150,0,1504
sub-010007,ep01,200,0,1504
sub-010007,ep02,3,2,18
sub-010007,ep02,5,2,184
sub-010007,ep02,7,3,1317
sub-010007,ep02,8,3,1273
sub-010007,ep02,10,3,1268
sub-010007,ep02,20,2,1263
sub-010007,ep02,30,2,1285
sub-010007,ep02,50,2,1293
sub-010007,ep02,100,0,1644
sub-010007,ep02,150,0,1644
sub-010007,ep02,200,0,1644
sub-010007,ep03,3,3,43
sub-010007,ep03,5,2,580
sub-010007,ep03,7,2,984
sub-010007,ep03,8,2,725
sub-010007,ep03,10,2,1445
sub-010007,ep03,20,0,1622
sub-010007,ep03,30,0,1622
sub-010007,ep03,50,0,1622
sub-010007,ep03,100,0,1622
sub-010007,ep03,150,0,1622
sub-010007,ep03,200,0,1622
sub-010007,ep04,3,3,27
sub-010007,ep04,5,8,1052
sub-010007,ep04,7,4,1099
sub-010007,ep04,8,4,1103
sub-010007,ep04,10,4,1169
sub-010007,ep04,20,2,1055
sub-010007,ep04,30,2,1031
sub-010007,ep04,50,0,1482
sub-010007,ep04,100,0,1482
sub-010007,ep04,150,0,1482
sub-010007,ep04,200,0,1482
sub-010007,ep05,3,91,1061
sub-010007,ep05,5,3,410
sub-010007,ep05,7,5,1169
sub-010007,ep05,8,3,1193
sub-010007,ep05,10,3,1212
sub-010007,ep05,20,2,1164
sub-010007,ep05,30,2,1147
sub-010007,ep05,50,0,1582
sub-010007,ep05,100,0,1582
sub-010007,ep05,150,0,1582
sub-010007,ep05,200,0,1582
sub-010007,ep06,3,6,141
sub-010007,ep06,5,2,631
sub-010007,ep06,7,5,915
sub-010007,ep06,8,3,923
sub-010007,ep06,10,2,945
sub-010007,ep06,20,2,975
sub-010007,ep06,30,2,959
sub-010007,ep06,50,2,943
sub-010007,ep06,100,0,1365
sub-010007,ep06,150,0,1365
sub-010007,ep06,200,0,1365
sub-010010,ep00,3,2,23
sub-010010,ep00,5,2,571
sub-010010,ep00,7,2,1249
sub-010010,ep00,8,2,1258
sub-010010,ep00,10,2,1317
sub-010010,ep00,20,0,1347
sub-010010,ep00,30,0,1347
sub-010010,ep00,50,0,1347
sub-010010,ep00,100,0,1347
sub-010010,ep00,150,0,1347
sub-010010,ep00,200,0,1347
sub-010010,ep01,3,4,163
sub-010010,ep01,5,6,1130
sub-010010,ep01,7,2,1203
sub-010010,ep01,8,2,1266
sub-010010,ep01,10,2,1286
sub-010010,ep01,20,0,1375
sub-010010,ep01,30,0,1375
sub-010010,ep01,50,0,1375
sub-010010,ep01,100,0,1375
sub-010010,ep01,150,0,1375
sub-010010,ep01,200,0,1375
sub-010010,ep02,3,3,108
sub-010010,ep02,5,3,1347
sub-010010,ep02,7,2,1395
sub-010010,ep02,8,2,1384
sub-010010,ep02,10,2,1370
sub-010010,ep02,20,0,1425
sub-010010,ep02,30,0,1425
sub-010010,ep02,50,0,1425
sub-010010,ep02,100,0,1425
sub-010010,ep02,150,0,1425
sub-010010,ep02,200,0,1425
sub-010010,ep03,3,9,227
sub-010010,ep03,5,2,572
sub-010010,ep03,7,5,1394
sub-010010,ep03,8,2,1402
sub-010010,ep03,10,2,1415
sub-010010,ep03,20,0,1476
sub-010010,ep03,30,0,1476
sub-010010,ep03,50,0,1476
sub-010010,ep03,100,0,1476
sub-010010,ep03,150,0,1476
sub-010010,ep03,200,0,1476
sub-010010,ep04,3,2,104
sub-010010,ep04,5,2,518
sub-010010,ep04,7,5,1146
sub-010010,ep04,8,2,1124
sub-010010,ep04,10,2,1136
sub-010010,ep04,20,2,1181
sub-010010,ep04,30,2,1216
sub-010010,ep04,50,2,1185
sub-010010,ep04,100,0,1359
sub-010010,ep04,150,0,1359
sub-010010,ep04,200,0,1359
sub-010010,ep05,3,2,144
sub-010010,ep05,5,2,497
sub-010010,ep05,7,3,1284
sub-010010,ep05,8,3,1306
sub-010010,ep05,10,2,1330
sub-010010,ep05,20,2,1355
sub-010010,ep05,30,0,1412
sub-010010,ep05,50,0,1412
sub-010010,ep05,100,0,1412
sub-010010,ep05,150,0,1412
sub-010010,ep05,200,0,1412
sub-010010,ep06,3,3,32
sub-010010,ep06,5,5,1089
sub-010010,ep06,7,4,1148
sub-010010,ep06,8,3,1139
sub-010010,ep06,10,2,1146
sub-010010,ep06,20,2,1187
sub-010010,ep06,30,0,1268
sub-010010,ep06,50,0,1268
sub-010010,ep06,100,0,1268
sub-010010,ep06,150,0,1268
sub-010010,ep06,200,0,1268
sub-010012,ep00,3,2,71
sub-010012,ep00,5,2,1022
sub-010012,ep00,7,2,1175
sub-010012,ep00,8,3,1308
sub-010012,ep00,10,2,1445
sub-010012,ep00,20,0,1596
sub-010012,ep00,30,0,1596
sub-010012,ep00,50,0,1596
sub-010012,ep00,100,0,1596
sub-010012,ep00,150,0,1596
sub-010012,ep00,200,0,1596
sub-010012,ep01,3,2,187
sub-010012,ep01,5,2,1024
sub-010012,ep01,7,2,1303
sub-010012,ep01,8,3,1346
sub-010012,ep01,10,2,1392
sub-010012,ep01,20,0,1873
sub-010012,ep01,30,0,1873
sub-010012,ep01,50,0,1873
sub-010012,ep01,100,0,1873
sub-010012,ep01,150,0,1873
sub-010012,ep01,200,0,1873
sub-010012,ep02,3,44,1006
sub-010012,ep02,5,4,1139
sub-010012,ep02,7,4,1227
sub-010012,ep02,8,4,1228
sub-010012,ep02,10,2,953
sub-010012,ep02,20,0,1667
sub-010012,ep02,30,0,1667
sub-010012,ep02,50,0,1667
sub-010012,ep02,100,0,1667
sub-010012,ep02,150,0,1667
sub-010012,ep02,200,0,1667
sub-010012,ep03,3,31,878
sub-010012,ep03,5,2,552
sub-010012,ep03,7,2,974
sub-010012,ep03,8,2,943
sub-010012,ep03,10,2,939
sub-010012,ep03,20,2,1424
sub-010012,ep03,30,2,1452
sub-010012,ep03,50,0,1611
sub-010012,ep03,100,0,1611
sub-010012,ep03,150,0,1611
sub-010012,ep03,200,0,1611
sub-010012,ep04,3,5,239
sub-010012,ep04,5,2,735
sub-010012,ep04,7,2,1027
sub-010012,ep04,8,2,1044
sub-010012,ep04,10,2,1341
sub-010012,ep04,20,0,1634
sub-010012,ep04,30,0,1634
sub-010012,ep04,50,0,1634
sub-010012,ep04,100,0,1634
sub-010012,ep04,150,0,1634
sub-010012,ep04,200,0,1634
sub-010012,ep05,3,3,234
sub-010012,ep05,5,3,1435
sub-010012,ep05,7,4,1483
sub-010012,ep05,8,3,1483
sub-010012,ep05,10,3,1491
sub-010012,ep05,20,2,1499
sub-010012,ep05,30,2,1496
sub-010012,ep05,50,0,1785
sub-010012,ep05,100,0,1785
sub-010012,ep05,150,0,1785
sub-010012,ep05,200,0,1785
sub-010012,ep06,3,2,136
sub-010012,ep06,5,7,1161
sub-010012,ep06,7,3,1125
sub-010012,ep06,8,3,1160
sub-010012,ep06,10,3,1169
sub-010012,ep06,20,2,1216
sub-010012,ep06,30,2,1194
sub-010012,ep06,50,2,1151
sub-010012,ep06,100,0,1465
sub-010012,ep06,150,0,1465
sub-010012,ep06,200,0,1465
sub-010016,ep00,3,2,125
sub-010016,ep00,5,2,1204
sub-010016,ep00,7,3,1369
sub-010016,ep00,8,2,1340
sub-010016,ep00,10,2,1281
sub-010016,ep00,20,2,1343
sub-010016,ep00,30,2,1359
sub-010016,ep00,50,0,1474
sub-010016,ep00,100,0,1474
sub-010016,ep00,150,0,1474
sub-010016,ep00,200,0,1474
sub-010016,ep01,3,3,24
sub-010016,ep01,5,3,1238
sub-010016,ep01,7,3,1371
sub-010016,ep01,8,2,1363
sub-010016,ep01,10,3,1339
sub-010016,ep01,20,2,1388
sub-010016,ep01,30,2,1414
sub-010016,ep01,50,0,1502
sub-010016,ep01,100,0,1502
sub-010016,ep01,150,0,1502
sub-010016,ep01,200,0,1502
sub-010016,ep02,3,3,55
sub-010016,ep02,5,2,1182
sub-010016,ep02,7,3,1390
sub-010016,ep02,8,3,1417
sub-010016,ep02,10,2,1418
sub-010016,ep02,20,2,1447
sub-010016,ep02,30,2,1451
sub-010016,ep02,50,0,1512
sub-010016,ep02,100,0,1512
sub-010016,ep02,150,0,1512
sub-010016,ep02,200,0,1512
sub-010016,ep03,3,5,661
sub-010016,ep03,5,3,1052
sub-010016,ep03,7,2,1216
sub-010016,ep03,8,2,1246
sub-010016,ep03,10,3,1347
sub-010016,ep03,20,2,1369
sub-010016,ep03,30,0,1442
sub-010016,ep03,50,0,1442
sub-010016,ep03,100,0,1442
sub-010016,ep03,150,0,1442
sub-010016,ep03,200,0,1442
sub-010016,ep04,3,3,55
sub-010016,ep04,5,2,1155
sub-010016,ep04,7,2,1150
sub-010016,ep04,8,2,1381
sub-010016,ep04,10,2,1389
sub-010016,ep04,20,2,1399
sub-010016,ep04,30,2,1395
sub-010016,ep04,50,0,1475
sub-010016,ep04,100,0,1475
sub-010016,ep04,150,0,1475
sub-010016,ep04,200,0,1475
sub-010016,ep05,3,4,91
sub-010016,ep05,5,2,1197
sub-010016,ep05,7,2,1303
sub-010016,ep05,8,2,1344
sub-010016,ep05,10,3,1376
sub-010016,ep05,20,2,1391
sub-010016,ep05,30,2,1426
sub-010016,ep05,50,0,1518
sub-010016,ep05,100,0,1518
sub-010016,ep05,150,0,1518
sub-010016,ep05,200,0,1518
sub-010016,ep06,3,2,29
sub-010016,ep06,5,2,948
sub-010016,ep06,7,2,1281
sub-010016,ep06,8,3,1295
sub-010016,ep06,10,2,1287
sub-010016,ep06,20,2,1339
sub-010016,ep06,30,0,1386
sub-010016,ep06,50,0,1386
sub-010016,ep06,100,0,1386
sub-010016,ep06,150,0,1386
sub-010016,ep06,200,0,1386
sub-010017,ep00,3,2,226
sub-010017,ep00,5,2,1136
sub-010017,ep00,7,2,1145
